2024-11-22T00:24:52.114+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
2024-11-22T00:24:52.116+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2024-11-22T00:24:52.117+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2024-11-22T00:24:52.120+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2024-11-22T00:24:52.120+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2024-11-22T00:24:52.122+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2024-11-22T00:24:52.124+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2024-11-22T00:24:52.126+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
2024-11-22T00:24:52.140+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2024-11-22T00:24:52.147+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2024-11-22T00:24:52.148+01:00 DEBUG 32420 --- [PoC medHead] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
